codigo;municipio;educasistencia;educretirobasica;educretiromedia;educmatricula;year;saludtotal;saludpersonal;saludpersporcentaje;saludfunc;saludfuncporcentaje;saludinversion;saludinvporcentaje;saludcapacit;saludcapacitporcentaje;saludtotalpc;eductotal;educnacional;educsubvencion;educmineduc;educmunic;educmunicporcentaje;educmuncipgastoporcentaje;mujeresindigente;mujerespobreza;mujeresfuncionarias;mujeresfuncprofes;mujeresdirectivo;pobreza;dom_comuna;urb;rur;dens;region;condom;usingcont
9118;"TOLTÉN";83.79;.15;9.4;1351;2012;481269;379732;78.9;93659;19.46;0;0;193;.05;"54";1947498;1917175;1162398;59.69;30323;1.56;1.47;76.39;90.31;50;4.76;9.52;27.93429;"TOLTEN";66.1;33.9;"11.69";9;.501682;.8794292
9117;"TEODORO SCHMIDT";91.94;.29;5.21;1018;2012;1214674;1003984;82.65;196903;16.21;0;0;340;.03;"80";1886180;1629180;1251091;66.33;257000;13.63;9.67;81.04;94.5;52.27;8.7;17.39;26.30571;"TEODORO SCHMIDT";54.77;45.23;"24.29";9;.501682;.8794292
9120;"VILLARRICA";90.37;.1;1.21;3655;2012;2784140;2171098;77.98;588776;21.15;0;0;3759;.17;"63";4799061;4664061;3039223;63.33;135000;2.81;1.97;66.88;86.46;43.81;6.52;10.87;19.15714;"VILLARICA";64.44;35.56;"46.1";9;.501682;.8794292
9111;"NUEVA IMPERIAL";88.63;.18;1.36;2384;2012;1962677;1536791;78.3;407319;20.75;0;0;1651;.11;"66";3620308;3377568;2416150;66.74;242740;6.7;5.54;70.46;88.96;45.31;10.34;17.24;27.14;"NUEVA IMPERIAL";60.19;39.81;"44.38";9;.501682;.8794292
9101;"TEMUCO";86.98;.25;1.18;17983;2012;1.20e+07;9040957;75.49;2378930;19.86;12855;.11;33956;.38;"56";2.35e+07;2.26e+07;1.01e+07;43.16;840000;3.58;2.57;57.02;77.35;34.42;25.44;1.78;15.99714;"TEMUCO";93.16;6.84;"678.16";9;.501682;.8794292
9115;"PUCÓN";85.77;.19;.36;2565;2012;1609605;1274811;79.2;317780;19.74;0;0;1486;.12;"63";3860889;3211696;2509098;64.99;649193;16.81;11.22;64.56;84.82;28.57;0;33.33;19.21428;"PUCON";45.72;54.28;"26.69";9;.501682;.8794292
9107;"GORBEA";85.69;.74;9.26;2215;2012;589360;496034;84.16;89280;15.15;0;0;0;0;"42";3288736;3091415;2149255;65.35;197321;6;8.58;67.66;90.5;33.93;10.53;0;30.30857;"GORBEA";58.52;41.48;"22.24";9;.501682;.8794292
9112;"PADRE LAS CASAS";93.56;.06;0;1460;2012;4703206;3649335;77.59;965058;20.52;18425;.39;9881;.27;"65";2583485;2289019;1132119;43.82;294466;11.4;2.46;68.34;86.3;43.9;22.22;5.56;21.70572;"PADRE LAS CASAS";50.65;49.35;"189.86";9;.501682;.8794292
9119;"VILCÚN";93.12;.28;2.7;2210;2012;1182336;853423;72.18;301652;25.51;0;0;2692;.32;"51";3578109;3317409;2180767;60.95;260700;7.29;5.85;65.67;86.95;32.61;6.67;6.67;15.81143;"VILCUN";35.54;64.46;"16.89";9;.501682;.8794292
9108;"LAUTARO";86.96;.34;3.73;5236;2012;2452326;1848389;75.37;440929;17.98;0;0;2251;.12;"74";6202151;6087151;4031285;65;115000;1.85;2.37;65.2;85.07;38.36;17.86;10.71;25.15714;"LAUTARO";66.52;33.48;"40.13";9;.501682;.8794292
