codigo;municipio;educasistencia;educretirobasica;educretiromedia;educmatricula;year;saludtotal;saludpersonal;saludpersporcentaje;saludfunc;saludfuncporcentaje;saludinversion;saludinvporcentaje;saludcapacit;saludcapacitporcentaje;saludtotalpc;eductotal;educnacional;educsubvencion;educmineduc;educmunic;educmunicporcentaje;educmuncipgastoporcentaje;mujeresindigente;mujerespobreza;mujeresfuncionarias;mujeresfuncprofes;mujeresdirectivo;pobreza;dom_comuna;urb;rur;dens;region;condom;usingcont
1401;"POZO ALMONTE";86.57;1.15;4.82;2644;2006;472785;296533;69.03;132832;30.92;203;.05;30;.01;"53";1833532;1833532;1442498;78.67;0;0;0;57.755;78.235;52.066;4.502;.69;8.882857;"POZO ALMONTE";61.64;38.36;"1.04";1;.5549875;.638362
1402;"CAMIÑA";94.88;1.64;0;254;2006;62879;41059;65.3;21820;34.7;0;0;0;0;"Costo Fijo";346671;297240;288406;83.19;49431;14.26;4.52;88.82667;97.75667;57.896;4;0;15.58;"CAMIÑA";0;100;"0.52";1;.5549875;.638362
1107;"ALTO HOSPICIO";83.46;.66;.26;762;2006;1258924;918845;72.99;284165;22.57;55914;4.44;0;0;"30";506449;399572;365686;72.21;106877;21.1;3.02;73.32166;88.5;44.63;11.792;10.104;21.10857;"ALTO HOSPICIO";100;0;"127";1;.5549875;.638362
1405;"PICA";89.99;1.53;3.85;769;2006;260389;213237;81.89;47152;18.11;0;0;0;0;"Costo Fijo";968111;538111;484502;50.05;430000;44.42;24.98;51.96333;73.355;51.35;16.444;4.444;11.99429;"PICA";75.55;24.45;"1.3";1;.5549875;.638362
1404;"HUARA";89.91;.31;2.33;456;2006;201501;156124;77.48;36887;18.31;8490;4.21;311;.2;"Costo Fijo";624522;482022;463336;74.19;142500;22.82;12.76;70.65;86.88834;26.045;9.523334;5.556667;12.09429;"HUARA";0;100;"0.29";1;.5549875;.638362
1403;"COLCHANE";94.89;0;0;176;2006;93833;63567;67.74;30266;32.26;0;0;350;.55;"Costo Fijo";278291;210191;201325;72.34;68100;24.47;9.49;99.61166;100;27.556;46.666;25;44.91143;"COLCHANE";0;100;"0.41";1;.5549875;.638362
1101;"IQUIQUE";87.4;1.6;4.92;17471;2006;3752495;2437938;76.3;652671;20.43;104494;3.27;13254;.54;"22";9526134;9321134;8273759;86.85;205000;2.15;1.08;56.37167;75.63;49.252;20.354;4.676;10.24286;"IQUIQUE";98.24;1.76;"80.24";1;.5549875;.638362
1401;"POZO ALMONTE";87.15;1.47;8.02;2631;2007;537904;326647;65.39;156020;31.23;16900;3.38;125;.04;"58";1850304;1806918;1581539;85.47;43386;2.34;1.11;58.8;75.18;52.066;4.502;.69;8.882857;"POZO ALMONTE";60.6;39.4;"1.09";1;.5295837;.660557
1405;"PICA";88.23;1.78;6.82;807;2007;280150;241737;86.29;38413;13.71;0;0;0;0;"Costo Fijo";1232572;662995;557584;45.24;569577;46.21;27.53;56.1;71.04;51.35;16.444;4.444;11.99429;"PICA";75.63;24.37;"1.44";1;.5295837;.660557
1107;"ALTO HOSPICIO";82.51;.48;.25;772;2007;1557824;1134107;72.8;368543;23.66;55174;3.54;0;0;"31";564776;514776;497344;88.06;50000;8.85;1.18;70.16;86.14;44.63;11.792;10.104;21.10857;"ALTO HOSPICIO";100;0;"134.15";1;.5295837;.660557
1402;"CAMIÑA";93.85;2.15;0;244;2007;78559;49113;62.52;29446;37.48;0;0;0;0;"Costo Fijo";386463;336678;293787;76.02;49785;12.88;5.27;91.67;100;57.896;4;0;15.58;"CAMIÑA";0;100;"0.5";1;.5295837;.660557
1403;"COLCHANE";94.44;0;0;162;2007;112430;55379;49.26;57051;50.74;0;0;0;0;"Costo Fijo";328041;209591;201644;61.47;118450;36.11;10.94;100;100;27.556;46.666;25;44.91143;"COLCHANE";0;100;"0.41";1;.5295837;.660557
1101;"IQUIQUE";88.39;1.12;4.46;16122;2007;4751684;3327750;73.17;812433;17.86;407988;8.97;15520;.47;"31";1.10e+07;1.08e+07;9362100;84.9;210042;1.9;.91;49.97;70.58;49.252;20.354;4.676;10.24286;"IQUIQUE";98.2;1.8;"80.73";1;.5295837;.660557
1404;"HUARA";90.6;1.65;11.43;415;2007;240268;180555;75.15;57559;23.96;2154;.9;0;0;"Costo Fijo";660656;490656;480155;72.68;170000;25.73;12.23;80.31;89.64;26.045;9.523334;5.556667;12.09429;"HUARA";0;100;"0.3";1;.5295837;.660557
1403;"COLCHANE";92.94;0;0;170;2008;164652;83163;50.51;19356;11.76;732;.44;0;0;"Costo Fijo";484581;484581;292802;60.42;0;0;0;97.67;100;21.43;100;25;44.91143;"COLCHANE";0;100;"0.41";1;.5041798;.6827521
1404;"HUARA";88.81;.99;4.84;429;2008;303890;245329;80.73;50614;16.66;4614;1.52;388;.16;"Costo Fijo";849839;741019;608149;71.56;108820;12.8;6.6;69.78;87.11;22.22;9.523334;5.556667;12.09429;"HUARA";0;100;"0.3";1;.5041798;.6827521
1405;"PICA";86.73;1.89;4.67;799;2008;398824;332446;83.36;35155;8.81;0;0;370;.11;"208";1405676;822650;749065;53.29;583026;41.48;24.55;52.65;69.64;52.94;22.22;0;11.99429;"PICA";75.48;24.52;"1.59";1;.5041798;.6827521
1107;"ALTO HOSPICIO";77.34;.41;.33;768;2008;2084601;1570075;75.32;429133;20.59;0;0;35673;2.27;"39";808820;808820;795201;98.32;0;0;0;73.47;88.81;44.3;2.86;8.57;21.10857;"ALTO HOSPICIO";99.79;.21;"141.3";1;.5041798;.6827521
1101;"IQUIQUE";86.88;1.39;4.79;15243;2008;6121273;4767319;77.88;1073915;17.54;0;0;24300;.51;"40";1.38e+07;1.30e+07;7342044;53.3;743963;5.4;2.86;53.13;73.53;50.15;19.39;4.24;10.24286;"IQUIQUE";98.12;1.88;"81.21";1;.5041798;.6827521
1401;"POZO ALMONTE";84.39;1.96;10.88;2709;2008;630950;432443;68.54;166483;26.39;0;0;245;.06;"63";2361471;2361204;1830728;77.52;267;.01;.01;57.06;76.45;51.79;0;3.45;8.882857;"POZO ALMONTE";59.58;40.42;"1.13";1;.5041798;.6827521
1402;"CAMIÑA";94.02;2.37;0;251;2008;105002;59516;56.68;44075;41.98;0;0;111;.19;"Costo Fijo";567851;514903;350388;61.7;52948;9.32;4.19;89.15;98.45;54.55;0;0;15.58;"CAMIÑA";0;100;"0.49";1;.5041798;.6827521
1404;"HUARA";85.28;6.99;3.85;447;2009;370062;312009;84.31;47952;12.96;0;0;0;0;"Costo Fijo";901631;749131;642234;71.23;152500;16.91;7.77;73.03;90.46;26.045;9.523334;5.556667;12.09429;"HUARA";0;100;"0.31";1;.5245814;.7589916
1107;"ALTO HOSPICIO";75.74;.44;1.56;776;2009;2379638;1788461;75.16;497686;20.91;6629;.28;799;.04;"39";892429;824002;797430;89.36;68427;7.67;1.07;75.71;89.95;41.77;15.15;6.06;21.10857;"ALTO HOSPICIO";100;0;"148.44";1;.5245814;.7589916
1401;"POZO ALMONTE";83.69;1.92;6.88;2674;2009;766261;447554;58.41;168882;22.04;0;0;0;0;"76";2486552;2486552;1977726;79.54;0;0;0;59.64;81.02;52.73;3.45;0;8.882857;"POZO ALMONTE";59.36;40.64;"1.17";1;.5245814;.7589916
1101;"IQUIQUE";86.06;1.6;3.83;14640;2009;6984412;5575299;79.82;1194759;17.11;0;0;16841;.3;"45";1.49e+07;1.44e+07;8931032;60.07;468350;3.15;1.59;60.19;78.22;48.71;22.35;4.71;10.24286;"IQUIQUE";98.15;1.85;"81.7";1;.5245814;.7589916
1403;"COLCHANE";93.8;8.8;4.55;159;2009;101075;87457;86.53;9118;9.02;0;0;0;0;"Costo Fijo";519436;345742;342936;66.02;173694;33.44;14.98;100;100;30.77;0;0;44.91143;"COLCHANE";0;100;"0.41";1;.5245814;.7589916
1402;"CAMIÑA";93.36;2.01;3.64;287;2009;167895;66473;39.59;84072;50.07;0;0;106;.16;"Costo Fijo";675899;622398;475119;70.29;53501;7.92;4.86;89.84;98.44;66.67;0;0;15.58;"CAMIÑA";0;100;"0.48";1;.5245814;.7589916
1405;"PICA";85.47;2.5;5.21;782;2009;375167;325181;86.68;46914;12.5;0;0;0;0;"201";1682040;892921;741889;44.11;789119;46.91;26.13;54.01;75.36;47.37;0;22.22;11.99429;"PICA";76.31;23.69;"1.73";1;.5245814;.7589916
1401;"POZO ALMONTE";83.72;2.42;7.56;2678;2010;947441;536726;56.65;239841;25.31;0;0;26730;4.98;"91";2796307;2746307;2044831;73.13;50000;1.79;1.19;57.48;80.29;53.7;6.9;0;8.882857;"POZO ALMONTE";58.18;41.82;"1.21";1;.5449829;.8352311
1402;"CAMIÑA";92.78;2.86;5.36;277;2010;156445;65310;41.75;78939;50.46;0;0;0;0;"Costo Fijo";708916;648916;469072;66.17;60000;8.46;4.95;88.97;97.06;55.56;20;0;15.58;"CAMIÑA";0;100;"0.47";1;.5449829;.8352311
1101;"IQUIQUE";86.81;2.51;3.97;13393;2010;8702785;6406584;73.62;1419371;16.31;204944;2.35;35903;.56;"54";1.58e+07;1.58e+07;9990387;63.23;0;0;0;59.17;78.19;49.03;11.18;5.26;10.24286;"IQUIQUE";98.06;1.94;"82.18";1;.5449829;.8352311
1404;"HUARA";82.72;2.97;3.33;434;2010;426839;334880;78.46;79182;18.55;0;0;950;.28;"Costo Fijo";906798;736798;654336;72.16;170000;18.75;7.26;68.5;86.61;35.29;0;16.67;12.09429;"HUARA";0;100;"0.31";1;.5449829;.8352311
1405;"PICA";87.46;1.08;7.23;893;2010;472369;438173;92.76;28430;6.02;0;0;0;0;"265";1908058;1062894;903008;47.33;845164;44.29;27.8;49.3;74.91;47.62;20;0;11.99429;"PICA";76.43;23.57;"1.88";1;.5449829;.8352311
1107;"ALTO HOSPICIO";80.75;.3;1.32;722;2010;2705616;2070746;76.54;560787;20.73;0;0;15358;.74;"42";1023138;793138;745056;72.82;230000;22.48;3.37;74.63;89.61;50;14.63;12.2;21.10857;"ALTO HOSPICIO";100;0;"155.61";1;.5449829;.8352311
1403;"COLCHANE";90.86;5.83;0;186;2010;79896;61758;77.3;14338;17.95;0;0;0;0;"Costo Fijo";609903;402903;369490;60.58;207000;33.94;18.15;100;100;23.08;33.33;0;44.91143;"COLCHANE";0;100;"0.41";1;.5449829;.8352311
1405;"PICA";86.09;3.14;12.33;1115;2011;525503;470435;89.52;48735;9.27;0;0;813;.17;"185";2027683;1295336;1060928;52.32;732347;36.12;22.82;44.75;69.66;50;20;0;11.99429;"PICA";76.7;23.3;"2.08";1;.5653844;.9114705
1403;"COLCHANE";82.69;0;0;174;2011;107810;89375;82.9;18435;17.1;0;0;0;0;"Costo Fijo";568549;361549;329827;58.01;207000;36.41;14.56;100;100;37.5;33.33;0;44.91143;"COLCHANE";0;100;"0.41";1;.5653844;.9114705
1101;"IQUIQUE";84.84;2.68;3.86;14889;2011;1.03e+07;6879333;66.75;1714634;16.64;108130;1.05;0;0;"77";1.72e+07;1.72e+07;1.03e+07;59.91;0;0;0;56.24;75;50.19;23.85;4.62;10.24286;"IQUIQUE";97.96;2.04;"82.21";1;.5653844;.9114705
1402;"CAMIÑA";88.73;3.87;0;286;2011;170083;71404;41.98;97848;57.53;0;0;1000;1.4;"Costo Fijo";757953;698751;446884;58.96;59202;7.81;4.97;86.76;96.32;57.14;0;0;15.58;"CAMIÑA";0;100;"0.45";1;.5653844;.9114705
1107;"ALTO HOSPICIO";80.76;.23;.42;755;2011;3270218;2459599;75.21;722281;22.09;0;0;2523;.1;"44";952096;752096;548504;57.61;200000;21.01;2.49;71.74;87.37;45.78;13.16;13.16;21.10857;"ALTO HOSPICIO";100;0;"163.77";1;.5653844;.9114705
1401;"POZO ALMONTE";82.18;2.99;7.43;3062;2011;1032875;644795;62.43;248733;24.08;0;0;102;.02;"97";3228703;3218703;2444241;75.7;10000;.31;.22;52.91;75.07;55.77;6.9;0;8.882857;"POZO ALMONTE";56.94;43.06;"1.26";1;.5653844;.9114705
1404;"HUARA";79.85;6.12;11.29;497;2011;446063;344832;77.31;75187;16.86;0;0;420;.12;"Costo Fijo";1149046;887046;626379;54.51;262000;22.8;13.94;63.71;81.08;0;0;0;12.09429;"HUARA";0;100;"0.32";1;.5653844;.9114705
1404;"HUARA";80.31;5.1;6.9;457;2012;515000;435279;84.52;69948;13.58;0;0;80;.02;"Costo Fijo";1279254;841354;639147;49.96;437900;34.23;16.05;68.57;86.43;46.67;28.57;0;12.09429;"HUARA";0;100;"0.33";1;.5653844;.9114705
1402;"CAMIÑA";90.48;4.05;9.33;252;2012;229795;79035;34.39;119494;52;0;0;0;0;"Costo Fijo";765425;690425;490300;64.06;75000;9.8;4.77;86.57;96.27;55.56;0;0;15.58;"CAMIÑA";0;100;"0.44";1;.5653844;.9114705
1107;"ALTO HOSPICIO";80.67;.27;.8;812;2012;4437439;2854869;64.34;1226255;27.63;0;0;12825;.45;"69";1186041;986041;712216;60.05;200000;16.86;2.06;74.22;89.12;41.3;13.16;10.53;21.10857;"ALTO HOSPICIO";100;0;"171.98";1;.5653844;.9114705
1403;"COLCHANE";77.27;2.08;0;154;2012;158830;113425;71.41;29713;18.71;0;0;0;0;"Costo Fijo";623327;362327;302716;48.56;261000;41.87;17.46;100;100;25;66.67;100;44.91143;"COLCHANE";0;100;"0.4";1;.5653844;.9114705
1101;"IQUIQUE";78.55;2.69;4.37;14220;2012;1.06e+07;7860461;74.41;1759156;16.65;14376;.14;14114;.18;"66";1.90e+07;1.72e+07;1.17e+07;61.49;1840465;9.69;4.75;59.53;78.26;48.18;25;4.55;10.24286;"IQUIQUE";97.87;2.13;"82.23";1;.5653844;.9114705
1405;"PICA";75.17;1.99;4.46;1176;2012;618649;549575;88.83;66451;10.74;0;0;882;.16;"164";2291784;1220972;1091387;47.62;1070812;46.72;28.35;54.97;79.52;58.82;20;0;11.99429;"PICA";76.7;23.3;"2.29";1;.5653844;.9114705
1401;"POZO ALMONTE";76.34;1.8;11.89;3127;2012;1081984;653590;60.41;261041;24.13;0;0;1287;.2;"103";3863018;3860018;2529539;65.48;3000;.08;.05;60.64;81.4;46.34;5.26;0;8.882857;"POZO ALMONTE";55.77;44.23;"1.3";1;.5653844;.9114705
2101;"ANTOFAGASTA";89.5;1.34;5.43;46492;2006;4395785;3432977;65.19;1467516;27.87;365409;6.94;7565;.22;"33";2.60e+07;2.49e+07;2.06e+07;79.01;1182504;4.54;3.9;47.89333;68.02333;45.606;18.022;1.956;6.565714;"ANTOFAGASTA";100;0;"11.13";2;.555081;.6673217
2302;"MARÍA ELENA";91.75;3.67;5.33;1419;2006;71823;50054;69.69;21769;30.31;0;0;508;1.01;"Costo Fijo";919744;788534;706095;76.77;131210;14.27;8.08;50.95;71.35333;54.57;12.41;2.668;5.914286;"MARIA ELENA";98.36;1.64;"0.43";2;.555081;.6673217
2301;"TOCOPILLA";90.34;2.57;4.57;5174;2006;99;99;99;99;99;99;99;99;99;"99";2833639;2784837;2707096;95.53;48802;1.72;2.62;49.755;73.47833;35.274;13.3;2.97;12.32;"TOCOPILLA";96.22;3.78;"5.65";2;.555081;.6673217
2202;"OLLAGÜE";92.11;0;0;38;2006;29366;11596;39.49;7854;26.75;9916;33.77;0;0;"Costo Fijo";94221;54221;44675;47.42;40000;42.45;5.55;56.77167;82.17667;27.634;16.666;10;12.34286;"OLLAGUE";0;100;"0.09";2;.555081;.6673217
2201;"CALAMA";90.64;.78;3.77;25062;2006;2359070;1601972;67.91;532298;22.56;224800;9.53;26860;1.68;"24";1.27e+07;1.26e+07;1.16e+07;91.41;143194;1.13;1.48;52.05;71.28333;51.582;10.025;4.1;9.611428;"CALAMA";98.83;1.17;"9.4";2;.555081;.6673217
2104;"TALTAL";90.43;.8;5;2759;2006;13570;9644;71.07;3926;28.93;0;0;0;0;"Costo Fijo";1594076;1534076;1440410;90.36;60000;3.76;2.58;48.32667;70.465;45.632;10.704;2.87;7.954286;"TALTAL";83.18;16.82;"0.54";2;.555081;.6673217
2203;"SAN PEDRO DE ATACAMA";89.57;1.97;5.76;796;2006;209456;130572;62.34;66787;31.89;12097;5.78;665;.51;"Costo Fijo";730888;626212;567069;77.59;104676;14.32;7.53;48.755;67.74667;59.6875;29.7325;35.635;4.508572;"SAN PEDRO DE ATACAMA";32.79;67.21;"0.3";2;.555081;.6673217
2102;"MEJILLONES";89.74;2.89;16.41;1852;2006;99;99;99;99;99;99;99;99;99;"99";1133888;995624;936591;82.6;138264;12.19;7.06;50.43333;71.775;44.93;3.844;6.27;5.525714;"MEJILLONES";94.17;5.83;"2.61";2;.555081;.6673217
2103;"SIERRA GORDA";87.62;0;0;202;2006;191289;130789;68.37;59162;30.93;1338;.7;210;.16;"Costo Fijo";405251;133251;108930;26.88;272000;67.12;9.6;43.78333;61.2;56.37333;7.253334;13.72667;2.44;"SIERRA GORDA";0;100;"0.24";2;.555081;.6673217
2302;"MARÍA ELENA";91.67;1.82;3.8;1357;2007;80607;59277;73.54;21330;26.46;0;0;0;0;"Costo Fijo";987370;796510;713187;72.23;190860;19.33;9.25;50;70.54;54.57;12.41;2.668;5.914286;"MARIA ELENA";98.31;1.69;"0.4";2;.4954914;.6865623
2203;"SAN PEDRO DE ATACAMA";91.52;1.22;7.95;837;2007;251387;163027;67.41;74919;30.98;3893;1.61;358;.22;"Costo Fijo";824644;670145;608868;73.83;154499;18.74;9.35;46.19;65;59.6875;29.7325;35.635;4.508572;"SAN PEDRO DE ATACAMA";34.31;65.69;"0.32";2;.4954914;.6865623
2102;"MEJILLONES";90.76;2.1;12.67;1818;2007;99;99;99;99;99;99;99;99;99;"99";1238793;1022293;981058;79.19;216500;17.48;10.39;52.41;72.04;44.93;3.844;6.27;5.525714;"MEJILLONES";94.55;5.45;"2.67";2;.4954914;.6865623
2104;"TALTAL";90.01;1.04;4.24;2803;2007;18779;13441;71.57;5338;28.43;0;0;0;0;"Costo Fijo";1742019;1700141;1651537;94.81;41878;2.4;1.66;47.59;67.2;45.632;10.704;2.87;7.954286;"TALTAL";83.11;16.89;"0.54";2;.4954914;.6865623
2202;"OLLAGÜE";84.38;0;0;32;2007;21690;12435;57.33;9255;42.67;0;0;0;0;"Costo Fijo";79310;49310;38823;48.95;30000;37.83;3.61;50;84.62;27.634;16.666;10;12.34286;"OLLAGUE";0;100;"0.09";2;.4954914;.6865623
2101;"ANTOFAGASTA";90.13;1.55;5.59;45225;2007;5904720;3043458;65.74;1289615;27.86;296667;6.41;4916;.16;"27";2.91e+07;2.80e+07;2.17e+07;74.68;1110800;3.82;3.28;50.42;68.71;45.606;18.022;1.956;6.565714;"ANTOFAGASTA";100;0;"11.34";2;.4954914;.6865623
2301;"TOCOPILLA";90.88;1.68;4.18;4967;2007;99;99;99;99;99;99;99;99;99;"99";3651744;3483654;3381732;92.61;168090;4.6;6.77;46.39;67.75;35.274;13.3;2.97;12.32;"TOCOPILLA";96.03;3.97;"5.57";2;.4954914;.6865623
2201;"CALAMA";91.77;.78;4.84;24430;2007;3020291;2142319;70.93;683281;22.62;194691;6.45;5196;.24;"30";1.46e+07;1.45e+07;1.22e+07;83.18;119120;.81;1.08;56.28;74.33;51.582;10.025;4.1;9.611428;"CALAMA";98.82;1.18;"9.43";2;.4954914;.6865623
2103;"SIERRA GORDA";88.44;0;0;199;2007;218533;161958;74.11;56082;25.66;493;.23;146;.09;"Costo Fijo";434695;124095;117309;26.99;310600;71.45;8.77;48.81;67.86;56.37333;7.253334;13.72667;2.44;"SIERRA GORDA";0;100;"0.25";2;.4954914;.6865623
2201;"CALAMA";88.63;.99;4.74;24176;2008;3509209;2721927;77.57;774026;22.06;0;0;13155;.48;"33";1.83e+07;1.82e+07;1.38e+07;75.38;149130;.81;1.11;51;71.15;49.33;10.025;4.1;9.611428;"CALAMA";98.81;1.19;"9.46";2;.4359019;.705803
2202;"OLLAGÜE";92.31;0;0;26;2008;39382;15141;38.45;10024;25.45;3688;9.36;0;0;"Costo Fijo";162045;102045;39062;24.11;60000;37.03;5.81;53.57;82.14;18.18;0;0;12.34286;"OLLAGUE";0;100;"0.09";2;.4359019;.705803
2104;"TALTAL";83.32;1.68;5.03;2805;2008;0;0;0;0;0;0;0;0;0;"Costo Fijo";2185085;2180085;1680989;76.93;5000;.23;.18;40.26;63.94;40.74;9.09;9.09;7.954286;"TALTAL";83.08;16.92;"0.53";2;.4359019;.705803
2301;"TOCOPILLA";85.52;3.2;6.79;4670;2008;99;99;99;99;99;99;99;99;99;"99";3608764;3598664;3494168;96.82;10100;.28;.22;40.91;65.87;34.65;13.3;2.97;12.32;"TOCOPILLA";95.88;4.12;"5.5";2;.4359019;.705803
2203;"SAN PEDRO DE ATACAMA";90.76;1.33;6.8;887;2008;315052;187103;59.39;88008;27.93;0;0;418;.22;"Costo Fijo";1121307;964807;774386;69.06;156500;13.96;7.67;40.79;60.29;61.54;25;37.5;4.508572;"SAN PEDRO DE ATACAMA";35.44;64.56;"0.34";2;.4359019;.705803
2101;"ANTOFAGASTA";87.09;1.26;6.08;44427;2008;6936557;4528732;65.29;1246458;17.97;0;0;44974;.99;"42";3.52e+07;3.41e+07;1.73e+07;49.22;1092500;3.11;2.82;43.36;65.08;43.82;15.38;2.05;6.565714;"ANTOFAGASTA";99.93;.07;"11.54";2;.4359019;.705803
2102;"MEJILLONES";83.01;1.17;7.38;1854;2008;99;99;99;99;99;99;99;99;99;"99";1638261;1462261;1161385;70.89;176000;10.74;7.47;45.87;68.41;48.39;6.67;6.67;5.525714;"MEJILLONES";94.87;5.13;"2.73";2;.4359019;.705803
2302;"MARÍA ELENA";87.33;3.51;4.26;1223;2008;89627;65454;73.03;24110;26.9;0;0;390;.6;"Costo Fijo";1139894;939419;797942;70;200475;17.59;12.51;47.92;70.83;53.57;6.67;6.67;5.914286;"MARIA ELENA";98.65;1.35;"0.37";2;.4359019;.705803
2103;"SIERRA GORDA";84.86;1.2;0;185;2008;257603;195892;76.04;55857;21.68;0;0;450;.23;"Costo Fijo";530502;224430;144353;27.21;306072;57.69;7.31;26.83;41.46;56.37333;7.253334;13.72667;2.44;"SIERRA GORDA";0;100;"0.26";2;.4359019;.705803
2301;"TOCOPILLA";87.61;1.23;4.85;4581;2009;99;99;99;99;99;99;99;99;99;"99";4036599;3907519;3139225;77.77;129080;3.2;4.05;52.71;78.12;34.02;12.12;3.03;12.32;"TOCOPILLA";95.58;4.42;"5.43";2;.4712934;.7475909
2203;"SAN PEDRO DE ATACAMA";90.83;2.42;2.63;995;2009;419225;286403;68.32;102394;24.42;0;0;359;.13;"Costo Fijo";1381775;1205275;945589;68.43;176500;12.77;6.28;50.14;67.83;59.6875;29.7325;35.635;4.508572;"SAN PEDRO DE ATACAMA";36.61;63.39;"0.36";2;.4712934;.7475909
2103;"SIERRA GORDA";87;2.01;0;176;2009;238131;163860;68.81;48963;20.56;0;0;2129;1.3;"Costo Fijo";572789;238789;143272;25.01;334000;58.31;8.37;44.04;59.63;45.45;10;0;2.44;"SIERRA GORDA";0;100;"0.27";2;.4712934;.7475909
2202;"OLLAGÜE";88.96;0;0;26;2009;60567;18123;29.92;18283;30.19;946;1.56;0;0;"Costo Fijo";129691;99691;39401;30.38;30000;23.13;2.62;61.29;83.87;20;0;0;12.34286;"OLLAGUE";0;100;"0.08";2;.4712934;.7475909
2101;"ANTOFAGASTA";86.42;1.24;4.82;43868;2009;9166524;5942676;64.83;2137584;23.32;0;0;50768;.85;"49";3.79e+07;3.71e+07;2.34e+07;61.81;877029;2.31;1.99;50.85;70.93;45.47;21.36;1.94;6.565714;"ANTOFAGASTA";100;0;"11.74";2;.4712934;.7475909
2104;"TALTAL";86.13;.6;5.93;2773;2009;22112;18769;84.88;3343;15.12;0;0;0;0;"Costo Fijo";2259432;2251032;1644054;72.76;8400;.37;.32;51.23;73.77;42.86;6.67;0;7.954286;"TALTAL";82.98;17.02;"0.53";2;.4712934;.7475909
2201;"CALAMA";88.08;1.05;3.37;23659;2009;4152734;3177879;76.52;937949;22.59;0;0;21092;.66;"40";2.08e+07;2.07e+07;1.52e+07;72.8;163901;.79;1.26;53.95;72.76;51.17;10.09;4.59;9.611428;"CALAMA";98.82;1.18;"9.49";2;.4712934;.7475909
2302;"MARÍA ELENA";90.65;2.96;4.68;1208;2009;108149;77193;71.38;30874;28.55;0;0;0;0;"Costo Fijo";1424728;1149764;846058;59.38;274964;19.3;15.56;55.77;75;55.56;20;6.67;5.914286;"MARIA ELENA";98.32;1.68;"0.35";2;.4712934;.7475909
2102;"MEJILLONES";87.21;1.05;5.42;1964;2009;99;99;99;99;99;99;99;99;99;"99";1778468;1618468;1404164;78.95;160000;9;4.34;54.64;74.31;44.12;6.67;6.67;5.525714;"MEJILLONES";95.32;4.68;"2.79";2;.4712934;.7475909
2201;"CALAMA";89.96;1;3.84;22859;2010;4586041;3548563;77.38;818348;17.84;0;0;8169;.23;"43";2.17e+07;2.17e+07;1.32e+07;60.86;0;0;0;51.29;70.89;51.46;10.38;3.77;9.611428;"CALAMA";98.81;1.19;"9.52";2;.5066849;.7893788
2203;"SAN PEDRO DE ATACAMA";92.11;1.46;6.51;1001;2010;510202;345263;67.67;116393;22.81;0;0;667;.19;"Costo Fijo";1597099;1402099;1012649;63.41;195000;12.21;6.32;52.21;71.25;64.71;27.27;27.27;4.508572;"SAN PEDRO DE ATACAMA";37.61;62.39;"0.38";2;.5066849;.7893788
2102;"MEJILLONES";86.98;1.64;9.78;1928;2010;99;99;99;99;99;99;99;99;99;"Costo Fijo";1983146;1743146;1374142;69.29;240000;12.1;5.26;51.62;73.47;48.57;5.88;5.88;5.525714;"MEJILLONES";95.68;4.32;"2.85";2;.5066849;.7893788
2302;"MARÍA ELENA";90.25;2.05;6.61;1139;2010;127156;89433;70.33;37612;29.58;0;0;0;0;"Costo Fijo";1189479;939151;796967;67;250328;21.05;13.69;51.68;70.59;52;15.38;0;5.914286;"MARIA ELENA";98.33;1.67;"0.32";2;.5066849;.7893788
2101;"ANTOFAGASTA";89.44;1.51;5.65;42721;2010;1.08e+07;6890764;63.72;2122550;19.63;0;0;106379;1.54;"55";4.38e+07;4.21e+07;2.33e+07;53.13;1708109;3.9;3.99;48.17;68.9;48.98;13.36;2.3;6.565714;"ANTOFAGASTA";100;0;"11.95";2;.5066849;.7893788
2104;"TALTAL";87.08;.73;5.9;2708;2010;25967;18682;71.95;7285;28.05;0;0;0;0;"Costo Fijo";2330255;2291764;1801448;77.31;38491;1.65;1.3;50.81;73.54;47.06;12.5;0;7.954286;"TALTAL";82.9;17.1;"0.52";2;.5066849;.7893788
2103;"SIERRA GORDA";86.44;1.76;0;177;2010;323755;215648;66.61;88156;27.23;0;0;2520;1.17;"Costo Fijo";693892;278964;159505;22.99;414928;59.8;6.99;44.88;63.78;60.71;5.88;17.65;2.44;"SIERRA GORDA";0;100;"0.28";2;.5066849;.7893788
2301;"TOCOPILLA";87.94;2.16;4.8;4469;2010;99;99;99;99;99;99;99;99;99;"Costo Fijo";4074458;3879812;3203637;78.63;194646;4.78;5.86;50.93;75.98;35.16;12.5;3.13;12.32;"TOCOPILLA";95.35;4.65;"5.36";2;.5066849;.7893788
2202;"OLLAGÜE";92.31;0;0;26;2010;34891;22327;63.99;10812;30.99;778;2.23;0;0;"Costo Fijo";112805;82805;42182;37.39;30000;26.59;3.21;60.61;81.82;27.27;33.33;0;12.34286;"OLLAGUE";0;100;"0.08";2;.5066849;.7893788
2203;"SAN PEDRO DE ATACAMA";89.41;1.22;5.92;1178;2011;596480;371172;62.23;131349;22.02;0;0;3824;1.03;"Costo Fijo";1743650;1489387;1055462;60.53;254263;14.58;6.62;48.76;68.95;56.25;22.22;33.33;4.508572;"SAN PEDRO DE ATACAMA";39.01;60.99;"0.4";2;.5420764;.8311667
